date,energy_kwh,production_tonnes,ambient_temp_c,operating_hours,grid_pf,tariff_period
2025-03-09,9312.0,78.5,25.4,22.4,0.799,peak
2025-03-10,9001.0,80.4,25.5,20.7,0.845,peak
2025-03-11,9330.0,81.4,25.8,21.7,0.817,peak
2025-03-12,9628.0,84.0,24.0,22.7,0.819,peak
2025-03-13,10496.0,95.2,27.5,22.9,0.864,peak
2025-03-14,9702.0,84.8,27.5,23.0,0.786,peak
2025-03-15,9661.0,89.0,23.5,21.0,0.882,offpeak
2025-03-16,11014.0,102.4,28.0,23.4,0.784,offpeak
2025-03-17,9916.0,89.1,30.8,21.6,0.813,offpeak
2025-03-18,10571.0,97.9,27.1,23.2,0.917,peak
2025-03-19,9790.0,84.5,26.2,22.5,0.885,peak
2025-03-20,9856.0,90.4,26.7,21.0,0.844,peak
2025-03-21,9502.0,84.4,28.3,22.2,0.802,peak
2025-03-22,9787.0,89.3,23.7,22.9,0.819,peak
2025-03-23,10893.0,98.7,27.5,23.2,0.843,peak
2025-03-24,9212.0,78.2,26.5,22.3,0.842,offpeak
2025-03-25,10786.0,95.5,31.1,24.0,0.836,peak
2025-03-26,10355.0,93.9,27.1,23.6,0.839,offpeak
2025-03-27,10013.0,87.2,30.9,22.2,0.831,peak
2025-03-28,9245.0,80.4,25.5,23.3,0.782,peak
2025-03-29,10365.0,92.6,29.0,24.0,0.819,peak
2025-03-30,10189.0,87.8,28.5,24.0,0.877,peak
2025-03-31,10257.0,93.9,26.2,21.1,0.785,peak
2025-04-01,9968.0,92.2,28.4,21.5,0.832,offpeak
2025-04-02,11204.0,104.8,30.6,24.0,0.807,peak
2025-04-03,9939.0,90.1,27.6,21.3,0.844,peak
2025-04-04,9585.0,83.8,25.0,21.0,0.824,offpeak
2025-04-05,9960.0,93.4,28.4,22.0,0.899,peak
2025-04-06,10352.0,93.8,26.8,23.0,0.86,offpeak
2025-04-07,10731.0,102.9,28.0,22.4,0.788,peak
2025-04-08,10521.0,98.7,28.6,21.8,0.867,offpeak
2025-04-09,10168.0,94.9,25.5,21.8,0.809,peak
2025-04-10,10800.0,103.7,25.7,21.7,0.817,peak
2025-04-11,9410.0,82.5,30.0,21.5,0.853,offpeak
2025-04-12,9966.0,86.9,28.1,24.0,0.82,offpeak
2025-04-13,9460.0,84.6,24.1,22.8,0.876,peak
2025-04-14,9943.0,88.9,31.0,23.5,0.809,offpeak
2025-04-15,9529.0,81.0,30.0,22.0,0.815,peak
2025-04-16,10657.0,97.1,28.2,22.3,0.814,peak
2025-04-17,10073.0,90.2,27.1,21.7,0.817,peak
2025-04-18,8980.0,80.2,31.5,19.6,0.884,offpeak
2025-04-19,9598.0,83.9,30.6,21.0,0.865,peak
2025-04-20,10540.0,94.5,34.8,20.5,0.908,offpeak
2025-04-21,10382.0,98.7,30.9,20.0,0.931,peak
2025-04-22,11183.0,106.0,31.0,21.2,0.799,offpeak
2025-04-23,11387.0,106.0,30.0,24.0,0.843,offpeak
2025-04-24,10865.0,95.3,32.0,22.5,0.793,peak
2025-04-25,10179.0,84.1,31.8,23.9,0.809,peak
2025-04-26,10366.0,74.9,33.1,23.0,0.815,peak
2025-04-27,10878.0,94.1,29.7,23.4,0.798,offpeak
2025-04-28,9564.0,85.5,30.0,21.5,0.798,peak
2025-04-29,10224.0,88.7,30.0,23.1,0.834,peak
2025-04-30,10231.0,87.1,32.6,23.3,0.791,peak
2025-05-01,10123.0,90.9,34.1,21.9,0.874,offpeak
2025-05-02,11027.0,100.5,30.3,23.1,0.803,peak
2025-05-03,10413.0,93.3,30.5,23.1,0.952,peak
2025-05-04,10276.0,90.7,32.1,21.9,0.822,offpeak
2025-05-05,9620.0,83.7,31.0,21.3,0.843,peak
2025-05-06,9475.0,78.6,33.5,21.2,0.788,offpeak
2025-05-07,9896.0,88.1,27.2,22.6,0.908,peak
2025-05-08,10246.0,91.6,30.2,22.9,0.885,peak
2025-05-09,11385.0,106.0,30.4,21.6,0.852,offpeak
2025-05-10,10329.0,93.0,27.4,22.5,0.786,offpeak
2025-05-11,11014.0,99.9,30.2,23.1,0.848,offpeak
2025-05-12,9953.0,88.0,30.4,23.2,0.795,peak
2025-05-13,9641.0,82.5,31.9,24.0,0.898,peak
2025-05-14,9930.0,84.3,34.6,23.9,0.872,peak
2025-05-15,9724.0,86.2,32.0,21.4,0.844,peak
2025-05-16,11567.0,106.0,30.5,24.0,0.743,peak
2025-05-17,9975.0,85.4,32.6,21.9,0.801,peak
2025-05-18,11013.0,98.7,34.9,23.6,0.868,peak
2025-05-19,9993.0,84.8,30.9,22.6,0.889,peak
2025-05-20,11020.0,99.5,31.1,22.0,0.884,peak
2025-05-21,10491.0,95.1,34.2,20.5,0.776,peak
2025-05-22,10129.0,90.7,32.7,22.3,0.852,offpeak
2025-05-23,10489.0,91.7,34.5,20.8,0.881,offpeak
2025-05-24,10101.0,86.8,33.3,23.6,0.774,peak
2025-05-25,10864.0,95.6,34.8,24.0,0.84,offpeak
2025-05-26,9919.0,88.4,31.4,21.6,0.851,offpeak
2025-05-27,9592.0,82.2,33.5,22.8,0.828,peak
2025-05-28,9361.0,81.8,33.2,21.7,0.766,peak
2025-05-29,12036.0,93.4,31.3,21.8,0.827,peak
2025-05-30,11146.0,104.6,30.7,23.4,0.827,peak
2025-05-31,11034.0,93.3,35.3,22.5,0.834,offpeak
2025-06-01,10289.0,91.1,33.3,24.0,0.817,offpeak
2025-06-02,10255.0,94.3,32.0,22.0,0.822,peak
2025-06-03,11354.0,102.4,33.9,23.6,0.838,offpeak
2025-06-04,10887.0,93.8,36.5,22.6,0.858,peak
2025-06-05,10107.0,88.7,29.7,23.4,0.828,offpeak
2025-06-06,10997.0,100.9,31.3,22.0,0.824,offpeak
2025-06-07,10308.0,95.4,32.6,22.4,0.844,peak
2025-06-08,11299.0,104.3,37.4,22.4,0.763,peak
2025-06-09,10305.0,93.5,35.1,21.6,0.859,offpeak
2025-06-10,9579.0,82.2,36.2,23.2,0.84,offpeak
2025-06-11,9650.0,81.1,32.4,23.2,0.842,peak
2025-06-12,10987.0,105.2,32.5,23.2,0.878,peak
2025-06-13,11383.0,105.8,35.7,24.0,0.762,peak
2025-06-14,10406.0,90.6,35.0,24.0,0.761,offpeak
2025-06-15,10103.0,88.9,36.0,22.1,0.851,offpeak
2025-06-16,11385.0,103.7,34.6,22.9,0.84,offpeak
2025-06-17,9816.0,83.1,35.6,21.8,0.847,offpeak
2025-06-18,10088.0,84.8,35.4,22.5,0.822,offpeak
2025-06-19,10946.0,97.1,36.7,21.8,0.867,offpeak
2025-06-20,10614.0,88.8,36.8,24.0,0.877,peak
2025-06-21,10373.0,92.0,32.0,22.9,0.859,offpeak
2025-06-22,10222.0,90.7,30.8,22.3,0.83,peak
2025-06-23,10944.0,94.7,37.4,23.8,0.756,peak
2025-06-24,11164.0,103.3,37.8,20.1,0.871,offpeak
2025-06-25,10171.0,92.7,33.4,20.3,0.889,offpeak
2025-06-26,10729.0,97.2,31.8,23.4,0.866,offpeak
2025-06-27,9190.0,75.6,35.7,22.6,0.805,peak
2025-06-28,10609.0,91.6,37.4,22.8,0.867,peak
2025-06-29,9973.0,85.3,39.2,21.0,0.874,peak
2025-06-30,9713.0,82.2,36.7,22.5,0.902,peak
2025-07-01,9985.0,85.0,34.9,24.0,0.805,peak
2025-07-02,10117.0,89.3,33.9,23.4,0.831,peak
2025-07-03,11188.0,99.3,35.8,22.7,0.87,peak
2025-07-04,9659.0,81.4,35.2,22.0,0.842,offpeak
2025-07-05,10247.0,92.2,33.8,22.1,0.795,peak
2025-07-06,10260.0,88.1,39.9,20.2,0.857,peak
2025-07-07,10370.0,89.4,39.4,22.8,0.863,offpeak
2025-07-08,11000.0,100.0,38.1,23.4,0.844,peak
2025-07-09,10722.0,96.3,34.0,20.8,0.849,offpeak
2025-07-10,11162.0,102.7,37.6,21.8,0.83,offpeak
2025-07-11,10262.0,90.8,37.2,21.2,0.899,peak
2025-07-12,10025.0,86.4,36.8,21.4,0.804,offpeak
2025-07-13,10639.0,90.2,38.5,22.6,0.817,offpeak
2025-07-14,10461.0,93.9,37.2,20.2,0.84,offpeak
2025-07-15,10518.0,93.4,37.5,23.2,0.875,offpeak
2025-07-16,10073.0,83.3,37.3,23.3,0.78,offpeak
2025-07-17,10464.0,92.7,36.7,22.2,0.788,offpeak
2025-07-18,10516.0,93.8,32.4,19.8,0.758,peak
2025-07-19,11399.0,106.0,36.2,21.4,0.841,offpeak
2025-07-20,11196.0,106.0,34.9,23.9,0.795,offpeak
2025-07-21,9662.0,85.2,33.4,19.4,0.825,offpeak
2025-07-22,10719.0,89.7,39.4,22.1,0.866,offpeak
2025-07-23,9883.0,80.3,39.5,21.2,0.814,peak
2025-07-24,10620.0,87.3,38.7,23.4,0.849,offpeak
2025-07-25,10457.0,94.5,36.5,21.8,0.828,offpeak
2025-07-26,11483.0,101.6,38.7,22.9,0.867,peak
2025-07-27,10018.0,86.2,36.0,23.1,0.859,peak
2025-07-28,10303.0,86.8,36.4,24.0,0.812,peak
2025-07-29,8971.0,74.8,33.7,22.3,0.833,peak
2025-07-30,10361.0,90.7,36.7,22.9,0.882,offpeak
2025-07-31,9624.0,83.5,36.0,20.9,0.856,peak
2025-08-01,10343.0,87.8,33.3,23.8,0.784,peak
2025-08-02,10014.0,85.0,35.8,21.7,0.866,offpeak
2025-08-03,12592.0,91.2,35.7,21.9,0.797,offpeak
2025-08-04,9409.0,77.9,39.4,22.5,0.897,offpeak
2025-08-05,9496.0,80.3,37.6,20.8,0.881,offpeak
2025-08-06,11384.0,106.0,35.8,22.8,0.852,offpeak
2025-08-07,9986.0,81.7,36.2,23.6,0.846,offpeak
2025-08-08,10055.0,83.2,35.8,22.8,0.832,offpeak
2025-08-09,11482.0,106.0,35.3,20.8,0.867,peak
2025-08-10,11259.0,106.0,33.5,22.4,0.825,offpeak
2025-08-11,9460.0,82.6,35.3,23.3,0.849,peak
2025-08-12,9742.0,89.1,34.1,20.4,0.875,peak
2025-08-13,10683.0,94.7,33.0,21.3,0.818,peak
2025-08-14,11526.0,105.8,36.5,23.5,0.815,offpeak
2025-08-15,9845.0,84.1,36.2,22.8,0.792,offpeak
2025-08-16,10484.0,90.0,31.8,23.0,0.797,peak
2025-08-17,13023.0,98.2,35.1,24.0,0.767,offpeak
2025-08-18,10841.0,95.5,37.3,23.0,0.869,peak
2025-08-19,10347.0,89.0,37.3,23.2,0.912,offpeak
2025-08-20,10581.0,90.9,37.2,24.0,0.897,offpeak
2025-08-21,9678.0,81.0,35.2,22.3,0.775,offpeak
2025-08-22,10413.0,90.1,33.4,21.6,0.869,offpeak
2025-08-23,10326.0,89.9,32.8,23.0,0.897,peak
2025-08-24,10772.0,93.9,35.6,23.0,0.822,peak
2025-08-25,10279.0,87.6,35.7,21.9,0.844,offpeak
2025-08-26,10519.0,95.8,37.4,21.4,0.76,offpeak
2025-08-27,11380.0,100.1,37.0,24.0,0.851,peak
2025-08-28,10508.0,93.2,34.4,22.9,0.797,peak
2025-08-29,10075.0,94.8,32.2,21.7,0.848,peak
2025-08-30,10201.0,92.4,33.9,23.5,0.778,peak
2025-08-31,10279.0,92.0,35.0,22.4,0.862,peak
2025-09-01,9449.0,86.2,34.0,22.2,0.881,peak
2025-09-02,10005.0,94.5,33.2,23.1,0.809,offpeak
2025-09-03,9665.0,91.2,34.8,21.1,0.795,peak
2025-09-04,11058.0,106.0,33.2,22.9,0.754,peak
2025-09-05,10531.0,104.6,32.9,24.0,0.829,peak
2025-09-06,10065.0,95.1,34.7,23.0,0.817,peak
2025-09-07,9353.0,85.9,33.2,22.1,0.778,offpeak
2025-09-08,9050.0,83.1,34.4,21.9,0.858,peak
2025-09-09,10412.0,101.5,34.4,22.0,0.822,offpeak
2025-09-10,9581.0,94.1,31.5,22.2,0.797,offpeak
2025-09-11,10177.0,95.8,32.7,22.1,0.818,peak
2025-09-12,8931.0,78.0,36.5,23.5,0.883,offpeak
2025-09-13,10326.0,99.4,31.2,20.6,0.864,offpeak
2025-09-14,9943.0,95.6,29.2,23.4,0.835,peak
2025-09-15,9133.0,83.1,29.6,22.1,0.865,peak
2025-09-16,9539.0,88.2,33.3,22.9,0.794,offpeak
2025-09-17,9789.0,94.1,33.2,21.3,0.841,offpeak
2025-09-18,9820.0,92.4,32.9,24.0,0.846,peak
2025-09-19,9822.0,89.7,35.4,23.9,0.821,offpeak
2025-09-20,9643.0,91.2,27.6,23.6,0.857,peak
2025-09-21,9378.0,90.0,33.6,20.8,0.809,offpeak
2025-09-22,10000.0,93.2,35.9,23.4,0.86,peak
2025-09-23,10400.0,103.8,30.4,22.9,0.862,peak
2025-09-24,8444.0,71.5,31.8,20.7,0.723,offpeak
2025-09-25,9536.0,90.1,31.0,22.5,0.888,offpeak
2025-09-26,10025.0,93.4,30.6,22.9,0.72,offpeak
2025-09-27,9889.0,94.4,31.6,23.1,0.815,peak
2025-09-28,9679.0,89.0,35.0,22.7,0.881,peak
2025-09-29,8752.0,77.9,35.7,22.8,0.827,offpeak
2025-09-30,9937.0,94.6,31.3,24.0,0.781,offpeak
2025-10-01,10939.0,105.8,35.7,23.8,0.796,peak
2025-10-02,8804.0,79.7,31.9,19.3,0.881,offpeak
2025-10-03,10302.0,98.9,35.2,22.2,0.763,peak
2025-10-04,9699.0,89.4,31.4,22.3,0.885,peak
2025-10-05,9594.0,91.5,31.7,20.6,0.838,peak
2025-10-06,9384.0,83.6,32.1,22.6,0.792,peak
2025-10-07,9852.0,89.3,37.6,23.9,0.817,peak
2025-10-08,10717.0,102.4,32.9,21.3,0.799,offpeak
2025-10-09,9910.0,96.7,29.7,22.9,0.875,peak
2025-10-10,10476.0,105.9,32.9,21.5,0.869,peak
2025-10-11,10037.0,101.4,30.2,21.8,0.771,peak
2025-10-12,10360.0,95.5,29.8,24.0,0.824,peak
2025-10-13,10756.0,106.0,32.5,21.9,0.805,peak
2025-10-14,9902.0,95.5,30.6,23.0,0.892,offpeak
2025-10-15,10133.0,98.6,31.0,20.4,0.786,peak
2025-10-16,9732.0,89.6,30.4,24.0,0.904,offpeak
2025-10-17,10063.0,92.5,30.9,23.2,0.839,offpeak
2025-10-18,9071.0,86.4,31.0,22.3,0.794,peak
2025-10-19,10061.0,99.9,26.2,23.1,0.813,offpeak
2025-10-20,8853.0,82.6,31.3,20.9,0.808,offpeak
2025-10-21,9811.0,98.3,27.9,23.8,0.789,offpeak
2025-10-22,9548.0,90.5,26.9,22.1,0.844,offpeak
2025-10-23,10201.0,101.4,29.5,22.3,0.791,offpeak
2025-10-24,10104.0,98.0,29.7,22.0,0.753,offpeak
2025-10-25,10837.0,106.0,28.0,21.9,0.825,offpeak
2025-10-26,10091.0,97.8,31.0,23.3,0.768,peak
2025-10-27,8641.0,79.4,26.5,22.8,0.81,offpeak
2025-10-28,9630.0,91.5,28.3,23.2,0.804,offpeak
2025-10-29,9066.0,82.6,27.9,22.5,0.805,offpeak
2025-10-30,9294.0,87.9,28.8,23.1,0.92,peak
2025-10-31,10302.0,104.1,29.4,22.0,0.842,peak
2025-11-01,10166.0,97.1,26.7,24.0,0.85,peak
2025-11-02,9168.0,86.4,30.1,20.8,0.769,peak
2025-11-03,8891.0,83.9,28.6,23.9,0.814,peak
2025-11-04,9429.0,92.3,24.6,24.0,0.849,peak
2025-11-05,8899.0,82.3,24.4,21.6,0.799,peak
2025-11-06,9408.0,86.6,28.2,24.0,0.876,peak
2025-11-07,9717.0,94.5,27.7,23.6,0.792,peak
2025-11-08,10262.0,101.2,27.8,23.6,0.829,offpeak
2025-11-09,9904.0,96.9,27.9,22.5,0.817,peak
2025-11-10,8414.0,73.7,28.3,22.3,0.847,peak
2025-11-11,9578.0,94.4,29.6,22.3,0.814,peak
2025-11-12,9439.0,92.6,25.4,22.9,0.829,peak
2025-11-13,9873.0,95.3,25.2,24.0,0.831,peak
2025-11-14,10354.0,104.9,25.3,22.7,0.811,offpeak
2025-11-15,8437.0,75.5,27.9,21.5,0.859,offpeak
2025-11-16,9225.0,87.3,29.8,23.4,0.85,peak
2025-11-17,9978.0,96.7,26.3,23.5,0.836,offpeak
2025-11-18,8711.0,79.3,22.1,23.2,0.823,peak
2025-11-19,10364.0,103.8,23.6,23.3,0.872,peak
2025-11-20,9669.0,94.9,25.2,22.2,0.831,peak
2025-11-21,9845.0,98.8,25.7,21.5,0.828,peak
2025-11-22,8991.0,87.4,25.9,21.5,0.844,offpeak
2025-11-23,9798.0,98.5,26.7,20.7,0.908,offpeak
2025-11-24,10293.0,100.5,25.9,22.8,0.786,offpeak
2025-11-25,9695.0,93.9,28.6,22.4,0.871,peak
2025-11-26,9425.0,93.9,25.0,22.0,0.764,offpeak
2025-11-27,9240.0,94.2,24.6,19.2,0.849,peak
2025-11-28,8982.0,85.1,27.2,21.1,0.903,peak
2025-11-29,9376.0,90.8,23.1,23.7,0.86,peak
2025-11-30,9454.0,90.8,26.8,21.8,0.847,offpeak
2025-12-01,9829.0,95.1,26.2,22.9,0.818,offpeak
2025-12-02,10026.0,100.0,25.6,21.0,0.841,peak
2025-12-03,9367.0,83.5,29.0,24.0,0.83,offpeak
2025-12-04,9508.0,91.0,24.5,22.3,0.809,offpeak
2025-12-05,10323.0,103.9,29.8,22.8,0.828,offpeak
2025-12-06,9080.0,86.1,25.2,24.0,0.848,peak
2025-12-07,9074.0,85.4,23.0,24.0,0.809,offpeak
2025-12-08,9504.0,93.6,25.6,22.2,0.808,offpeak
2025-12-09,9637.0,98.8,23.3,21.8,0.786,offpeak
2025-12-10,9338.0,92.1,23.8,22.1,0.856,peak
2025-12-11,10202.0,102.6,26.1,23.1,0.862,offpeak
2025-12-12,9868.0,98.9,26.3,22.4,0.849,peak
2025-12-13,9799.0,98.7,23.9,22.1,0.879,offpeak
2025-12-14,10152.0,96.4,27.1,24.0,0.844,peak
2025-12-15,10519.0,106.0,27.4,22.4,0.856,peak
2025-12-16,9948.0,90.4,27.9,24.0,0.852,peak
2025-12-17,8448.0,76.0,26.0,22.6,0.836,peak
2025-12-18,10517.0,104.8,27.6,24.0,0.819,peak
2025-12-19,9114.0,88.3,21.1,22.9,0.929,peak
2025-12-20,9626.0,92.9,24.1,23.6,0.822,peak
2025-12-21,10099.0,102.5,23.0,21.7,0.813,peak
2025-12-22,8778.0,79.2,24.9,21.6,0.857,offpeak
2025-12-23,8669.0,82.0,23.5,23.0,0.85,offpeak
2025-12-24,8782.0,79.2,24.2,23.6,0.784,offpeak
2025-12-25,9188.0,85.6,28.3,22.5,0.885,peak
2025-12-26,9324.0,95.5,24.2,21.1,0.836,peak
2025-12-27,9739.0,96.2,25.3,21.0,0.796,offpeak
2025-12-28,9619.0,94.2,24.0,20.9,0.888,peak
2025-12-29,8402.0,80.7,24.5,20.6,0.865,peak
2025-12-30,8203.0,73.5,24.4,22.6,0.789,offpeak
2025-12-31,9366.0,92.4,25.2,23.7,0.911,offpeak
2026-01-01,9093.0,88.2,26.6,22.5,0.866,peak
2026-01-02,9735.0,95.7,27.5,20.0,0.84,offpeak
2026-01-03,9754.0,97.6,24.8,22.3,0.904,peak
2026-01-04,9381.0,93.1,25.4,22.3,0.846,offpeak
2026-01-05,9935.0,98.1,21.9,24.0,0.839,peak
2026-01-06,9338.0,93.8,24.0,20.9,0.814,peak
2026-01-07,9683.0,96.2,26.0,22.1,0.863,offpeak
2026-01-08,9352.0,86.4,25.8,24.0,0.859,peak
2026-01-09,9233.0,90.6,24.5,23.0,0.841,offpeak
2026-01-10,9528.0,93.6,25.8,23.1,0.808,peak
2026-01-11,9947.0,98.6,25.0,22.6,0.845,offpeak
2026-01-12,9474.0,88.9,26.4,22.9,0.837,offpeak
2026-01-13,9994.0,96.2,24.6,23.4,0.787,peak
2026-01-14,9092.0,89.9,23.3,21.6,0.781,offpeak
2026-01-15,9612.0,91.1,24.7,23.5,0.863,peak
2026-01-16,9490.0,98.6,20.0,21.0,0.736,peak
2026-01-17,8643.0,76.1,24.8,22.9,0.848,peak
2026-01-18,8458.0,81.6,20.0,22.7,0.821,offpeak
2026-01-19,8614.0,80.1,20.6,21.8,0.892,offpeak
2026-01-20,8117.0,73.3,24.9,22.5,0.82,offpeak
2026-01-21,9310.0,86.6,25.0,21.8,0.866,offpeak
2026-01-22,9735.0,98.0,21.7,21.3,0.824,offpeak
2026-01-23,9052.0,89.7,22.6,22.1,0.845,peak
2026-01-24,9454.0,93.6,26.8,21.3,0.869,offpeak
2026-01-25,10137.0,100.7,23.1,22.9,0.821,offpeak
2026-01-26,10360.0,102.6,28.5,21.2,0.88,peak
2026-01-27,9456.0,91.4,24.1,23.3,0.8,offpeak
2026-01-28,10087.0,102.8,24.9,21.2,0.852,peak
2026-01-29,9653.0,92.7,27.3,21.9,0.877,peak
2026-01-30,8948.0,85.3,24.4,21.8,0.866,peak
2026-01-31,8995.0,87.2,22.1,24.0,0.917,peak
2026-02-01,8554.0,80.2,23.9,22.9,0.809,peak
2026-02-02,8965.0,84.9,24.1,22.3,0.785,offpeak
2026-02-03,9364.0,89.1,21.5,23.0,0.8,offpeak
2026-02-04,9884.0,98.4,23.7,20.2,0.866,peak
2026-02-05,10436.0,105.8,22.8,22.5,0.86,peak
2026-02-06,8932.0,80.9,26.1,24.0,0.844,peak
2026-02-07,9780.0,95.1,24.4,22.6,0.795,peak
2026-02-08,8779.0,83.7,23.8,22.6,0.871,offpeak
2026-02-09,9727.0,95.8,24.2,23.1,0.791,peak
2026-02-10,9363.0,91.0,24.9,23.5,0.886,offpeak
2026-02-11,8149.0,77.4,25.7,20.3,0.954,offpeak
2026-02-12,9764.0,99.4,22.5,20.6,0.855,offpeak
2026-02-13,9095.0,87.2,22.5,22.7,0.863,offpeak
